"","Player","Country.x","Bat_pc1","Country.y","Ball_pc1"
"40","BJ Dwarshuis","Overseas",-3.24738335760453,"Overseas",-3.54393725275501
"41","BJ McCarthy","Overseas",-0.35504948191472,"Overseas",5.87995299669632
"42","BKG Mendis","Overseas",6.68287010815337,"Overseas",NA
"43","BM Duckett","Overseas",1.41135672005441,"Overseas",NA
"44","BR McDermott","Overseas",-0.616571318383662,"Overseas",NA
"45","Babar Azam","Overseas",10.2599678545102,"Overseas",NA
"46","Basil Hameed","Overseas",1.01034901270066,"Overseas",0.198296421124342
"47","C Campher","Overseas",2.95849127639627,"Overseas",1.29988409416893
"48","C Floyd","Overseas",-3.10327126716465,"Overseas",-3.02343758469733
"49","C Green","Overseas",0.463000915392416,"Overseas",-0.515788623318802
"50","C Karunaratne","Overseas",1.42864989063467,"Overseas",5.1393122478035
"51","C Madande","Overseas",-3.05510628703239,"Overseas",NA
"52","CA Young","Overseas",-2.67581426759682,"Overseas",1.97583601970568
"53","CAH Stevenson","Overseas",-2.59720712357873,"Overseas",-2.02208326466465
"54","CAK Rajitha","Overseas",-2.79422368553277,"Overseas",-1.5994534825035
"55","CB Sole","Overseas",-2.92682787311461,"Overseas",-3.12983955652044
"56","CBRLS Kumara","Overseas",-2.93432019767542,"Overseas",2.24814932973176
"57","CJ Jordan","Overseas",0.00333277406780735,"Overseas",3.50590025552687
"58","CN Ackermann","Overseas",0.885921854054991,"Overseas",-2.74192586640809
"59","CN Greaves","Overseas",-0.763977645593255,"Overseas",-2.64670335203521
"60","CP Rizwan","Overseas",0.482605264365708,"Overseas",NA
"61","CR Ervine","Overseas",5.12281420749515,"Overseas",NA
"62","CR Woakes","Overseas",-1.90206464096432,"Overseas",1.1534975506126
"63","CS MacLeod","Overseas",-1.18897973856667,"Overseas",-3.74353387273367
"64","Chirag Suri","Overseas",4.89844323335503,"Overseas",NA
"65","D Cleaver","Overseas",0.277721431320707,"Overseas",NA
"66","D Madushanka","Overseas",-3.16087319213079,"Overseas",0.0699876812125063
"67","D Pretorius","Overseas",-0.872891539102849,"Overseas",0.239708336675736
"68","D Siva Kumar","Overseas",-2.84364583124406,"Overseas",-3.40947405567803
"69","DA Miller","Overseas",3.98412796621909,"Overseas",NA
"70","DA Warner","Overseas",3.82606027879702,"Overseas",NA
"71","DC Drakes","Overseas",-2.55156011119121,"Overseas",-0.657540454480167
"72","DC Thomas","Overseas",-1.49945653215042,"Overseas",NA
"73","DJ Hooda","Local",3.05708545989374,"Local",-2.14997803059711
"74","DJ Malan","Overseas",6.56804910032061,"Overseas",NA
"75","DJ Mitchell","Overseas",3.93361667915607,"Overseas",-3.10978750638066
"76","DJ Willey","Overseas",-1.69014392484612,"Overseas",1.94606991587018
"77","DL Chahar","Local",-1.88611052546847,"Local",0.0464941309922238
"78","DM Bravo","Overseas",-2.08575741853407,"Overseas",NA
"79","DM de Silva","Overseas",1.8568707129189,"Overseas",-1.251028046857
"80","DP Conway","Overseas",7.00583381544561,"Overseas",NA
"81","DR Sams","Overseas",-1.57184442920292,"Overseas",-1.45060448473361
"82","DT Tiripano","Overseas",-2.12204020649328,"Overseas",-1.4483006586775
"83","Darwish Rasooli","Overseas",-1.45908397494158,"Overseas",NA
"84","E Lewis","Overseas",-1.93186341515934,"Overseas",NA
"85","EJG Morgan","Overseas",-2.0709131077033,"Overseas",NA
"86","F Hand","Overseas",-1.60170540767753,"Overseas",-1.86689994204671
"87","FA Allen","Overseas",-2.42920157554037,"Overseas",-2.08851411714753
"88","FH Allen","Overseas",5.1387275698273,"Overseas",NA
"89","FJ Klaassen","Overseas",-2.4034333929012,"Overseas",3.58535558402845
"90","Fakhar Zaman","Overseas",-0.0426593952130213,"Overseas",NA
"91","Fareed Ahmad","Overseas",-3.02256480803362,"Overseas",-1.26575685613955
"92","Fazalhaq Farooqi","Overseas",-3.20970352177368,"Overseas",3.49848135723801
"93","G Singh","Overseas",-2.20790929617789,"Overseas",NA
"94","GD Phillips","Overseas",8.38028334087963,"Overseas",-3.27585402256165
"95","GH Dockrell","Overseas",4.3558698266547,"Overseas",-0.953792472297203
"96","GHS Garton","Overseas",-3.0524848700782,"Overseas",-3.33679069183319
"97","GI Hume","Overseas",-3.21185856044866,"Overseas",-3.25057230927285
