"","Player","Year","Dots","Singles","Twos","Threes","Fours","Sixes","Total_runs","Total_balls","Dismissals","Matches","High_score","Max_strike_rate","Bat_avg","Wining_balls","Country","Batsman_status"
"99","GJ Maxwell",2022,88,82,30,0,21,11,291,215,14,16,54,209.090909090909,20.7857142857143,158,"Overseas",1
"100","GT Main",2022,8,4,0,0,2,0,12,14,0,1,12,85.7142857142857,12,0,"Overseas",1
"101","Gulbadin Naib",2022,12,18,3,1,3,2,51,37,2,2,39,169.565217391304,25.5,0,"Overseas",1
"102","H Klaasen",2022,49,64,11,0,23,10,238,148,8,9,81,243.75,29.75,84,"Overseas",1
"103","HC Brook",2022,95,114,21,2,30,15,406,288,14,17,81,350,29,151,"Overseas",1
"104","HE van der Dussen",2022,46,37,0,0,11,5,111,94,5,6,75,166.666666666667,22.2,75,"Overseas",1
"105","HG Munsey",2022,66,62,6,0,22,1,168,145,4,5,66,146.153846153846,42,57,"Overseas",1
"106","HH Pandya",2022,144,163,32,0,44,29,601,415,18,24,71,258.333333333333,33.3888888888889,272,"Local",1
"107","HR Walsh",2022,11,4,0,0,0,1,10,16,0,3,10,125,3.33333333333333,0,"Overseas",1
"108","HT Tector",2022,105,169,26,1,32,10,411,319,18,22,64,200,22.8333333333333,95,"Overseas",1
"109","HV Patel",2022,22,15,2,0,7,2,76,53,5,9,17,260,15.2,16,"Local",1
"110","Haider Ali",2022,32,31,7,0,6,4,93,70,10,11,31,500,9.3,31,"Overseas",1
"111","Hamza Tahir",2022,3,3,0,0,0,0,3,6,0,1,3,50,3,0,"Overseas",1
"112","Haris Rauf",2022,19,7,3,1,4,3,48,30,6,10,13,400,8,9,"Overseas",1
"113","Hasan Ali",2022,5,0,0,0,1,1,10,5,2,2,10,333.333333333333,5,0,"Overseas",1
"114","Hasan Mahmud",2022,8,2,0,1,0,0,5,10,2,5,3,300,2.5,3,"Overseas",1
"115","Hashmatullah Shahidi",2022,28,23,2,0,5,0,58,66,2,2,36,100,29,0,"Overseas",1
"116","Hazratullah",2022,135,82,6,1,37,10,326,269,12,14,59,233.333333333333,27.1666666666667,202,"Overseas",1
"117","I Kaia",2022,64,51,9,1,7,2,111,129,7,7,53,111.764705882353,15.8571428571429,23,"Overseas",1
"118","IS Sodhi",2022,11,13,1,1,2,2,37,24,6,8,19,300,6.16666666666667,13,"Overseas",1
"119","Ibrahim Zadran",2022,140,140,25,1,30,9,367,329,10,13,64,171.428571428571,36.7,80,"Overseas",1
"120","Iftikhar Ahmed",2022,131,147,21,3,27,15,396,326,17,20,51,200,23.2941176470588,116,"Overseas",1
"121","Ihsanullah",2022,7,2,1,0,4,0,20,13,1,1,20,153.846153846154,20,14,"Overseas",1
"122","Ishan Kishan",2022,166,113,22,0,51,15,451,343,14,14,89,236.363636363636,32.2142857142857,296,"Local",1
"123","J Charles",2022,41,29,5,2,8,4,101,85,4,4,45,150,25.25,38,"Overseas",1
"124","J Little",2022,21,15,0,0,3,1,33,38,2,7,8,200,16.5,1,"Overseas",1
"125","J Liyanage",2022,22,19,3,1,0,0,27,42,3,3,11,87.5,9,9,"Overseas",1
"126","J Theron",2022,0,1,0,0,0,0,1,1,0,1,1,100,1,0,"Overseas",1
"127","JA Richardson",2022,11,9,0,0,0,0,9,20,0,1,9,45,9,20,"Overseas",1
"128","JC Buttler",2022,101,71,20,4,43,17,397,237,13,14,80,366.666666666667,30.5384615384615,224,"Overseas",1
"129","JDF Vandersay",2022,1,1,0,0,1,0,5,3,0,1,5,166.666666666667,5,0,"Overseas",1
"130","JDS Neesham",2022,52,54,25,0,18,16,272,146,11,18,33,383.333333333333,24.7272727272727,123,"Overseas",1
"131","JH Davey",2022,0,2,1,0,0,0,4,3,0,1,4,133.333333333333,4,0,"Overseas",1
"132","JJ Roy",2022,112,58,6,1,17,10,206,189,11,11,52,200,18.7272727272727,117,"Overseas",1
"133","JM Bairstow",2022,38,49,7,0,9,8,147,102,3,3,90,173.076923076923,49,57,"Overseas",1
"134","JM Vince",2022,35,25,8,0,13,5,123,81,5,5,55,200,24.6,30,"Overseas",1
"135","JO Holder",2022,62,50,9,0,11,8,160,125,12,13,38,216.666666666667,13.3333333333333,3,"Overseas",1
"136","JP Inglis",2022,40,52,13,0,19,3,172,118,7,8,40,210.526315789474,24.5714285714286,83,"Overseas",1
"137","JR Hazlewood",2022,1,1,1,0,0,0,3,3,0,2,2,100,1.5,2,"Overseas",1
"138","JS Malhotra",2022,27,33,4,1,3,5,86,68,4,5,58,175.757575757576,21.5,39,"Overseas",1
"139","Junaid Siddique",2022,13,11,4,0,3,3,49,30,3,6,18,400,16.3333333333333,1,"Overseas",1
"140","K Mishara",2022,12,3,2,0,2,0,14,16,3,3,13,118.181818181818,4.66666666666667,3,"Overseas",1
"141","K Rabada",2022,13,16,3,0,1,0,26,30,3,5,9,112.5,8.66666666666667,0,"Overseas",1
"142","KA Maharaj",2022,30,23,1,0,5,4,110,92,4,5,41,157.142857142857,27.5,0,"Overseas",1
"143","KA Pollard",2022,29,37,7,0,8,3,101,77,2,7,41,225,50.5,30,"Overseas",1
"144","KD Karthik",2022,91,75,9,0,29,13,287,195,14,22,55,500,20.5,126,"Local",1
"145","KIC Asalanka",2022,133,139,28,1,30,8,366,313,18,21,53,250,20.3333333333333,126,"Overseas",1
"146","KL Rahul",2022,154,125,21,1,27,26,434,331,15,16,62,203.571428571429,28.9333333333333,271,"Local",1
"147","KMA Paul",2022,12,11,0,0,2,0,19,22,1,2,19,86.3636363636364,19,0,"Overseas",1
"148","KP Meiyappan",2022,12,11,0,0,2,0,31,29,2,3,12,150,15.5,6,"Overseas",1
"149","KR Mayers",2022,163,74,9,1,42,20,383,283,18,18,73,300,21.2777777777778,96,"Overseas",1
