"","Player","Year","bowler_Dots","bowler_Singles","bowler_Twos","bowler_Threes","bowler_Fours","bowler_Sixes","Bowler_wickets","Bowler_Matches","Total_wides","Total_noballs","Total_overs","Total_runs_conceded","Bowler_min_econ_rate","Bowler_wining_balls","Country","Bowler_status"
"178","R Shepherd",2022,70,103,16,3,29,23,12,13,22,0,42.8333333333333,417,6,106,"Overseas",1
"179","RA Jadeja",2022,60,73,9,0,14,9,5,8,3,0,27.5,200,3.46153846153846,122,"Local",1
"180","RD Berrington",2022,1,3,0,0,1,1,1,1,0,0,1,13,13,0,"Overseas",1
"181","RE van der Merwe",2022,23,28,9,1,5,1,2,6,1,0,12.3333333333333,81,5.14285714285714,43,"Overseas",1
"182","RJ Gleeson",2022,43,54,7,0,18,8,9,6,4,0,21.6666666666667,187,3.6,84,"Overseas",1
"183","RJW Topley",2022,130,150,35,2,48,10,18,15,15,0,70.8333333333333,540,4.32,226,"Overseas",1
"184","RL Chase",2022,29,37,2,0,4,1,6,3,1,0,12.1666666666667,62,3.5,0,"Overseas",1
"185","RP Burl",2022,64,100,14,0,11,8,11,13,4,0,36,241,3.25,94,"Overseas",1
"186","Rashid Khan",2022,155,192,31,1,28,13,22,18,7,0,70.1666666666667,442,1.92,189,"Overseas",1
"187","Ravi Bishnoi",2022,104,106,14,1,18,10,16,10,21,3,39.6666666666667,258,3.4,204,"Local",1
"188","Rohan Mustafa",2022,63,105,8,0,24,5,12,9,7,0,31,226,4.5,135,"Overseas",1
"189","S Mahmood",2022,19,20,5,0,9,5,0,3,3,1,9.66666666666667,96,8,26,"Overseas",1
"190","SA Abbott",2022,12,13,1,1,4,1,1,2,1,1,5.33333333333333,39,6.72,25,"Overseas",1
"191","SC Williams",2022,71,120,17,3,8,2,13,15,4,1,39,210,2.5,145,"Overseas",1
"192","SJ Modani",2022,4,2,0,0,0,0,1,1,0,0,1,2,2,6,"Overseas",1
"193","SM Curran",2022,139,188,52,3,40,13,25,19,17,0,72.8333333333333,555,3,289,"Overseas",1
"194","SM Sharif",2022,16,46,7,1,10,2,2,4,3,3,7.5,80,10.1052631578947,23,"Overseas",1
"195","SN Netravalkar",2022,54,39,5,0,8,5,8,5,0,0,16,96,3,48,"Overseas",1
"196","SN Thakur",2022,12,9,1,0,4,1,2,1,3,0,4.5,33,7.33333333333333,27,"Local",1
"197","SR Taylor",2022,8,16,4,0,1,1,0,2,0,0,5,34,5.75,6,"Overseas",1
"198","SS Cottrell",2022,77,51,16,2,28,7,9,8,7,1,26,191,6.31578947368421,68,"Overseas",1
"199","SS Iyer",2022,1,0,1,0,0,0,0,1,0,0,0.333333333333333,2,6,0,"Local",1
"200","Sabbir Rahman",2022,0,5,0,0,1,0,0,1,0,0,1,9,9,6,"Overseas",1
"201","Sabir Ali",2022,23,14,3,0,9,3,3,3,3,1,8.66666666666667,70,4.57142857142857,12,"Overseas",1
"202","Shadab Khan",2022,161,206,42,2,33,13,26,20,5,0,77.8333333333333,537,4.75,271,"Overseas",1
"203","Shaheen Shah Afridi",2022,78,60,18,3,18,1,13,8,3,0,27.5,163,4.56,91,"Overseas",1
"204","Shahnawaz Dhani",2022,64,56,12,2,34,9,6,9,7,0,30.5,264,3.5,79,"Overseas",1
"205","Shakib Al Hasan",2022,87,145,32,0,22,18,15,14,3,2,50.8333333333333,400,3.25,74,"Overseas",1
"206","Sharafuddin Ashraf",2022,22,13,1,0,2,0,2,2,2,0,8.5,33,3.12,38,"Overseas",1
"207","Shariz Ahmad",2022,45,63,8,1,10,6,7,9,1,0,22.1666666666667,154,3,67,"Overseas",1
"208","Shoriful Islam",2022,72,104,20,1,32,17,13,11,9,3,29.6666666666667,288,7.5,73,"Overseas",1
"209","Sikandar Raza",2022,140,229,34,3,15,12,25,22,7,0,72.1666666666667,431,2,222,"Overseas",1
"210","Simi Singh",2022,82,129,16,1,15,19,14,14,7,0,44.3333333333333,333,2.25,149,"Overseas",1
"211","Soumya Sarkar",2022,12,14,7,0,4,2,2,3,3,0,6.5,56,5.14285714285714,19,"Overseas",1
"212","Sultan Ahmed",2022,25,14,2,0,3,1,1,2,0,0,4,21,5.25,21,"Overseas",1
"213","T Shamsi",2022,71,123,19,0,17,21,16,12,13,0,39,326,4.61538461538462,151,"Overseas",1
"214","T Stubbs",2022,0,3,2,0,0,1,0,1,0,1,2.33333333333333,40,17.1428571428571,0,"Overseas",1
"215","T van der Gugten",2022,6,19,6,2,3,2,1,2,2,0,6.33333333333333,60,8.7,20,"Overseas",1
"216","TA Boult",2022,116,91,22,3,34,5,12,11,7,0,49.5,327,3.12,173,"Overseas",1
"217","TG Southee",2022,126,127,24,2,40,16,22,14,15,0,50.1666666666667,393,2.88,186,"Overseas",1
"218","TJG Pringle",2022,95,112,18,3,14,6,8,13,2,0,41.3333333333333,240,3.25,127,"Overseas",1
"219","TL Chatara",2022,159,151,20,4,38,6,18,16,11,1,67.3333333333333,395,3.23076923076923,144,"Overseas",1
"220","TL Chivanga",2022,16,17,1,0,5,5,0,3,5,2,6,55,9.14285714285714,36,"Overseas",1
"221","TLW Cooper",2022,3,7,1,0,1,0,0,2,0,0,2,13,5,0,"Overseas",1
"222","TM Head",2022,3,7,0,0,1,1,0,1,0,0,2,17,8.5,12,"Overseas",1
"223","TS Mills",2022,20,31,5,0,13,8,3,4,3,1,9.66666666666667,117,11.0526315789474,13,"Overseas",1
"224","Taskin Ahmed",2022,129,97,22,4,41,10,13,13,12,4,50.6666666666667,378,3.75,74,"Overseas",1
"225","UT Yadav",2022,11,7,0,0,9,3,4,2,0,0,5,61,11.3333333333333,0,"Local",1
"226","Umran Malik",2022,14,26,5,0,12,6,4,3,7,2,11.6666666666667,127,8.89655172413793,36,"Local",1
"227","Usman Qadir",2022,33,56,11,0,15,9,7,5,2,2,24.8333333333333,226,7.61538461538462,25,"Overseas",1
"228","V Kohli",2022,1,4,1,0,0,0,0,1,0,0,1,6,6,6,"Local",1
"229","VM Nyauchi",2022,12,17,3,2,8,0,3,2,1,0,7.16666666666667,66,7.25,24,"Overseas",1
"230","VM Vaghela",2022,12,4,1,0,0,1,2,1,0,0,3,12,4,0,"Overseas",1
"231","VR Iyer",2022,11,15,3,0,6,3,4,3,1,0,6.33333333333333,63,4,38,"Local",1
"232","W Madhevere",2022,52,73,15,0,9,6,8,13,4,1,30,181,3.6,74,"Overseas",1
"233","WD Parnell",2022,125,94,15,2,32,16,15,12,8,1,47.5,358,3.23076923076923,161,"Overseas",1
"234","WP Masakadza",2022,45,65,9,1,12,4,5,8,4,0,22.6666666666667,157,3.66666666666667,105,"Overseas",1
"235","Waseem Muhammad",2022,3,6,2,0,0,1,1,1,0,0,2,16,8,12,"Overseas",1
"236","Washington Sundar",2022,3,4,1,0,3,1,1,1,0,0,2,24,12,12,"Local",1
"237","Y Cariah",2022,15,13,3,0,3,2,1,2,0,0,6,43,3.75,0,"Overseas",1
"238","YS Chahal",2022,135,198,20,1,34,21,24,19,10,0,67,453,3.66666666666667,301,"Local",1
"239","Yasir Mohammad",2022,8,7,0,0,3,0,1,1,0,0,3,18,6,0,"Overseas",1
"240","Zahoor Khan",2022,90,132,17,0,23,8,15,11,5,4,41.5,289,2.75,175,"Overseas",1
"241","Zawar Farid",2022,27,52,13,0,16,2,3,6,3,0,15.5,126,7,18,"Overseas",1
